Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Variant,Sample Size,Participation,HLAS - SD,SMER - SSD,SaS,PS,PS-SPOLU,OĽaNO,KDH,SR,REPUBLIKA,SNS,ALIANCIA,SMK-MKP,MOST - HÍD,ZĽ,ĽSNS,DVaU,SPOLU/MK,Demokrati,MF,Jablko,Modrí,#SIEŤ/SKS,Source
MEDIAN SK,2023-05-15,2023-06-20,FALSE,Core,1036,630,0.064,0.1230,0.0180,0.0500,,0.0250,0.0300,0.0210,0.0520,0.0220,,,,0.0040,0.0180,,,0.0150,,,,,https://www.median.sk/sk/wp-content/uploads/2023/06/4523500_PAT05_Volebny_model_v04.pdf
IPSOS,2023-06-12,2023-06-16,FALSE,Potential,1001,760,0.272,0.3080,0.1620,0.2390,,0.1050,0.0870,0.1580,0.1720,0.1130,0.0490,,,,,,,0.1100,,,,,https://flo.uri.sh/visualisation/14182440/embed
IPSOS,2023-06-12,2023-06-16,FALSE,Core,1001,760,0.091,0.1430,0.0300,0.0950,,0.0370,0.0320,0.0350,0.0560,0.0300,0.0160,,,,,,,0.0160,,,,,https://flo.uri.sh/visualisation/14182440/embed
NMS,2023-06-02,2023-06-08,FALSE,Potential,1446,,0.172,0.2170,0.0890,0.1850,,0.0870,0.0890,0.1010,0.1160,0.0700,0.0360,,,0.0430,0.0400,,,0.0570,,,0.0330,,https://nms.global/sk/predvolebny-prieskum-jun-2023/
NMS,2023-06-02,2023-06-08,FALSE,Core,1446,,0.062,0.1200,0.0190,0.0690,,0.0300,0.0220,0.0160,0.0500,0.0150,0.0140,,,0.0050,0.0140,,,,,,,,https://nms.global/sk/predvolebny-prieskum-jun-2023/
IPSOS,2023-05-16,2023-05-19,FALSE,Potential,1004,760,0.271,0.302,0.148,0.225,,0.108,0.103,0.152,0.152,0.107,0.053,,,0.058,0.06,,,0.09,0.019,0.027,0.068,,https://flo.uri.sh/visualisation/13850786/embed
IPSOS,2023-05-16,2023-05-19,FALSE,Core,1004,760,0.092,0.13,0.02,0.071,,0.047,0.023,0.031,0.067,0.026,0.028,,,0.011,0.014,,,0.011,0.003,0.005,0.002,,https://flo.uri.sh/visualisation/13850786/embed
NMS,2023-05-05,2023-05-17,FALSE,Potential,1233,,0.194,0.275,0.11,0.179,,0.101,0.064,0.11,0.123,0.074,0.028,,,0.032,0.028,,,0.057,,0.021,0.033,,https://nms.global/sk/predvolebny-prieskum-maj-2023/
NMS,2023-05-05,2023-05-17,FALSE,Core,1233,,0.064,0.154,0.021,0.067,,0.039,0.015,0.028,0.052,0.018,0.012,,,,0.009,,,0.008,,0.005,,,https://nms.global/sk/predvolebny-prieskum-maj-2023/
MEDIAN SK,2023-04-01,2023-05-06,FALSE,Potential,1943,1090,0.248,0.249,0.197,0.24,,0.148,0.142,0.208,0.124,0.094,0.042,,,0.073,0.053,,,0.126,,,,,https://www.median.sk/pdf/OSTATNE/4523500_PAT04_VOLMOD_v04.pdf
MEDIAN SK,2023-04-01,2023-05-06,FALSE,Core,1943,1090,0.063,0.113,0.024,0.048,,0.046,0.022,0.023,0.037,0.013,0.009,,,0.007,0.012,,,0.012,,,,,https://www.median.sk/pdf/OSTATNE/4523500_PAT04_VOLMOD_v04.pdf
IPSOS,2023-04-13,2023-04-18,FALSE,Potential,1002,800,0.244,0.31,0.143,0.229,,0.117,0.083,0.155,0.173,0.11,,,,,,,,0.101,,,,,https://twitter.com/patameszaros/status/1648740093316694021
IPSOS,2023-04-13,2023-04-18,FALSE,Core,1002,800,0.113,0.12,0.033,0.079,,0.042,0.026,0.023,0.057,0.023,,,,,,,,0.011,,,,,https://twitter.com/patameszaros/status/1648740093316694021
NMS,2023-03-28,2023-04-02,FALSE,Potential,1008,,0.194,0.266,0.1,0.18,,0.071,0.082,0.106,0.133,0.056,0.043,,,0.04,0.027,,,0.079,,,0.035,,https://nms.global/sk/predvolebny-prieskum-april-2023/
NMS,2023-03-28,2023-04-02,FALSE,Core,1008,,0.067,0.144,0.009,0.045,,0.028,0.025,0.018,0.056,0.008,0.016,,,0.007,0.011,,,0.009,,,,,https://nms.global/sk/predvolebny-prieskum-april-2023/
MEDIAN SK,2023-03-06,2023-04-02,FALSE,Potential,1057,613,0.217,0.2,0.152,0.168,,0.13,0.11,0.166,0.078,0.043,0.041,,,0.057,0.048,0.044,,0.062,,,,,https://www.median.sk/pdf/OSTATNE/4523500_PAT03_Volebnymodel_v03.pdf
MEDIAN SK,2023-03-06,2023-04-02,FALSE,Core,1057,613,0.080,0.122,0.035,0.035,,0.032,0.042,0.037,0.041,0.006,0.02,,,0.013,0.023,0.007,,0.014,,,,,https://www.median.sk/pdf/OSTATNE/4523500_PAT03_Volebnymodel_v03.pdf
IPSOS,2023-03-07,2023-03-09,FALSE,Potential,1017,835,0.250,0.288,0.136,0.182,,0.095,0.092,0.169,0.183,0.106,0.051,,,0.082,0.044,0.017,,0.125,0.041,0.019,0.054,,https://flo.uri.sh/visualisation/13014945/embed
IPSOS,2023-03-07,2023-03-09,FALSE,Core,1017,835,0.106,0.124,0.026,0.065,,0.026,0.031,0.035,0.064,0.014,0.03,,,0.012,0.013,0.001,,0.018,0.006,0,0.008,,https://flo.uri.sh/visualisation/13014945/embed
NMS,2023-03-03,2023-03-07,FALSE,Potential,1000,,0.232,0.245,0.104,0.167,,0.092,0.085,0.118,0.137,0.077,,,,0.046,0.038,0.038,0.068,,,,,,https://nms.global/sk/predvolebny-prieskum-april-2023/
NMS,2023-03-03,2023-03-07,FALSE,Core,1000,,0.091,0.119,0.017,0.037,,0.026,0.016,0.022,0.043,0.01,,,,,0.012,,,,0.009,,,,https://nms.global/sk/predvolebny-prieskum-april-2023/
MEDIAN SK,2023-02-01,2023-03-05,FALSE,Potential,1076,628,0.231,0.263,0.179,0.19,,0.149,0.107,0.147,0.108,0.082,0.038,,,0.065,0.058,,,,,,,,https://www.median.sk/pdf/OSTATNE/4523500_PAT02_model_v04.pdf
MEDIAN SK,2023-02-01,2023-03-05,FALSE,Core,1076,628,0.077,0.123,0.02,0.049,,0.031,0.034,0.019,0.031,0.02,0.012,,,0.009,0.017,,,,,,,,https://www.median.sk/pdf/OSTATNE/4523500_PAT02_model_v04.pdf
MEDIAN SK,2023-01-09,2023-02-05,FALSE,Potential,1029,600,0.235,0.25,0.148,0.153,,0.14,0.106,0.196,0.084,0.059,0.046,,,0.066,0.047,0.046,0.048,,,,,,https://www.median.sk/pdf/OSTATNE/4523500_PAT01_Sprava_v05.pdf
MEDIAN SK,2023-01-09,2023-02-05,FALSE,Core,1029,600,0.096,0.115,0.016,0.019,,0.045,0.041,0.044,0.021,0.009,0.03,,,0.012,0.012,0.007,0,,,,,,https://www.median.sk/pdf/OSTATNE/4523500_PAT01_Sprava_v05.pdf
IPSOS,2023-01-18,2023-01-20,FALSE,Potential,1010,,0.292,0.264,0.16,0.214,,0.137,0.098,0.194,0.146,0.064,,,,0.073,0.072,,,,,,,,https://flo.uri.sh/visualisation/12521981/embed
IPSOS,2023-01-18,2023-01-20,FALSE,Core,1010,,0.125,0.101,0.028,0.07,,0.05,0.043,0.032,0.065,0.023,,,,0.007,0.023,,,,,,,,https://flo.uri.sh/visualisation/12521981/embed
MEDIAN SK,2022-12-19,2022-12-23,FALSE,Potential,1006,865,0.311,0.252,0.163,0.253,,0.106,0.119,0.136,0.155,,0.042,,,0.067,0.042,,,,,,,,https://www.median.sk/pdf/OSTATNE/4522628_Volebnymodel_MEDIANSK_december_v01.pdf
MEDIAN SK,2022-12-19,2022-12-23,FALSE,Core,1006,865,0.098,0.104,0.017,0.055,,0.032,0.014,0.019,0.061,,0.017,,,0.002,0.009,,,,,,,,https://www.median.sk/pdf/OSTATNE/4522628_Volebnymodel_MEDIANSK_december_v01.pdf
IPSOS,2022-11-22,2022-11-28,FALSE,Potential,1023,,0.341,0.29,0.189,0.195,,0.133,0.111,0.16,0.135,0.062,0.053,,,0.096,0.071,,0.037,,0.025,,,,https://flo.uri.sh/visualisation/11979135/embed
IPSOS,2022-11-22,2022-11-28,FALSE,Core,1023,,0.120,0.108,0.029,0.05,,0.047,0.046,0.021,0.032,0.013,0.031,,,0.006,0.013,,0.002,,0.002,,,,https://flo.uri.sh/visualisation/11979135/embed
MEDIAN SK,2022-10-25,2022-11-08,FALSE,Potential,1011,668,0.319,0.264,0.191,0.224,,0.1,0.131,0.166,0.159,0.065,,,,0.102,0.06,,0.107,,,,,,https://www.median.sk/pdf/OSTATNE/Zaverecnasprava_RTVS_09112022_v12.pdf
MEDIAN SK,2022-10-25,2022-11-08,FALSE,Core,1011,668,0.103,0.077,0.031,0.045,,0.027,0.029,0.02,0.089,0.023,,,,0.016,0.027,,0.011,,,,,,https://www.median.sk/pdf/OSTATNE/Zaverecnasprava_RTVS_09112022_v12.pdf
IPSOS,2022-09-14,2022-09-20,FALSE,Potential,1003,,0.324,0.295,0.187,0.199,,0.124,0.103,0.172,0.136,0.096,0.035,,,0.067,0.079,0.037,0.053,,0.034,,,,https://flo.uri.sh/visualisation/11264324/embed
IPSOS,2022-09-14,2022-09-20,FALSE,Core,1003,,0.117,0.111,0.05,0.071,,0.055,0.037,0.021,0.055,0.015,0.013,,,0.004,0.018,0.004,0.007,,0.008,,,,https://flo.uri.sh/visualisation/11264324/embed
IPSOS,2022-07-29,2022-08-08,FALSE,Potential,1038,,0.303,0.296,0.234,0.183,,0.131,0.102,0.149,0.14,0.073,0.033,,,0.095,0.057,0.031,0.067,,0.026,,,,https://img.projektn.sk/wp-static/2022/08/Siroky-potencial-a-jadro-vo-volebnom-modeli-IPSOS--august-2022.png
IPSOS,2022-07-29,2022-08-08,FALSE,Core,1038,,0.097,0.11,0.069,0.063,,0.048,0.034,0.029,0.048,0.009,0.013,,,0.008,0.02,0.002,0.006,,0.002,,,,https://img.projektn.sk/wp-static/2022/08/Siroky-potencial-a-jadro-vo-volebnom-modeli-IPSOS--august-2022.png
MEDIAN SK,2022-03-01,2022-03-03,FALSE,Potential,1001,797,0.237,0.228,0.274,0.213,,0.178,0.124,0.158,0.118,0.053,0.055,,,0.073,0.05,0.052,0.058,,,,,,https://www.median.sk/pdf/OSTATNE/4522524_KonfliktnaUkrajine_v13.pdf
MEDIAN SK,2022-03-01,2022-03-03,FALSE,Core,1001,797,0.078,0.085,0.031,0.035,,0.053,0.024,0.016,0.041,0.001,0.013,,,0.006,0.011,0.002,0.004,,,,,,https://www.median.sk/pdf/OSTATNE/4522524_KonfliktnaUkrajine_v13.pdf
MEDIAN SK,2022-02-09,2022-02-20,FALSE,Potential,1012,807,0.286,0.255,0.257,0.204,,0.145,0.131,0.148,0.109,0.069,0.058,,,0.102,0.036,0.066,0.066,,,,,,https://www.median.sk/pdf/OSTATNE/4522500_Volebnymodel_PAT2_v04.pdf
MEDIAN SK,2022-02-09,2022-02-20,FALSE,Core,1012,807,0.079,0.097,0.033,0.033,,0.028,0.028,0.012,0.018,0.009,0.023,,,0.001,0.012,0.001,0,,,,,,https://www.median.sk/pdf/OSTATNE/4522500_Volebnymodel_PAT2_v04.pdf
MEDIAN SK,2022-01-27,2022-02-01,FALSE,Potential,1006,718,0.216,0.239,0.253,0.202,,0.162,0.102,0.145,0.089,0.078,0.054,,,0.068,0.07,0.053,0.061,,,,,,https://www.median.sk/pdf/OSTATNE/4522507_Sprava_v12.pdf
MEDIAN SK,2022-01-27,2022-02-01,FALSE,Core,1006,718,0.065,0.091,0.049,0.029,,0.044,0.023,0.01,0.033,0.002,0.014,,,0.002,0.021,0.002,0,,,,,,https://www.median.sk/pdf/OSTATNE/4522507_Sprava_v12.pdf
MEDIAN SK,2021-08-31,2021-09-06,FALSE,Potential,1018,773,0.258,0.195,0.244,0.174,,0.177,0.103,0.177,0.088,0.05,0.071,,,0.111,0.064,0.044,0.056,,,,,,https://www.median.sk/pdf/OSTATNE/4521582_Sprava_v13.pdf
MEDIAN SK,2021-08-31,2021-09-06,FALSE,Core,1018,773,0.090,0.071,0.034,0.019,,0.042,0.013,0.015,0.027,0.002,0.013,,,0.009,0.014,0.004,0.002,,,,,,https://www.median.sk/pdf/OSTATNE/4521582_Sprava_v13.pdf
MEDIAN SK,2021-05-11,2021-05-19,FALSE,Potential,1000,743,0.260,0.165,0.239,0.184,,0.168,0.095,0.176,0.074,0.073,0.056,,,0.138,0.053,0.065,0.068,,,,,,https://www.median.sk/pdf/OSTATNE/Volebny_model_PAT_05.pdf
MEDIAN SK,2021-05-11,2021-05-19,FALSE,Core,1000,743,0.092,0.047,0.039,0.019,,0.042,0.009,0.012,0.027,0.012,0.029,,,0.012,0.012,0.002,0.002,,,,,,https://www.median.sk/pdf/OSTATNE/Volebny_model_PAT_05.pdf
MEDIAN SK,2021-04-23,2021-04-27,FALSE,Potential,1013,790,0.338,0.16,0.263,0.191,,0.157,0.077,0.148,0.079,0.051,0.068,,,0.126,0.066,0.057,0.048,,,,,,https://www.median.sk/pdf/OSTATNE/4521546_RTVS_medzinarodneinstitucie_v21.pdf
MEDIAN SK,2021-04-23,2021-04-27,FALSE,Core,1013,790,0.139,0.045,0.043,0.026,,0.044,0.017,0.019,0.026,0.005,0.021,,,0.005,0.012,0.003,0.001,,,,,,https://www.median.sk/pdf/OSTATNE/4521546_RTVS_medzinarodneinstitucie_v21.pdf
MEDIAN SK,2021-03-12,2021-03-18,FALSE,Potential,1003,766,0.316,0.151,0.222,0.178,,0.173,0.109,0.131,0.06,0.062,,0.053,0.032,0.15,0.073,0.053,0.048,,,,,,https://www.median.sk/pdf/OSTATNE/4521527_RTVS_Hodnotenievlady_v22.pdf
MEDIAN SK,2021-03-12,2021-03-18,FALSE,Core,1003,766,0.141,0.044,0.027,0.035,,0.057,0.011,0.01,0.019,0.011,,0.031,0,0.009,0.024,0.001,0.003,,,,,,https://www.median.sk/pdf/OSTATNE/4521527_RTVS_Hodnotenievlady_v22.pdf
MEDIAN SK,2021-01-07,2021-01-13,FALSE,Potential,1001,731,0.328,0.13,0.23,0.14,,0.241,0.081,0.119,,0.04,,0.039,0.018,0.117,0.144,0.07,0.046,,,,,,https://www.median.sk/pdf/OSTATNE/4520585_RTVS_Volebnymodel_a_aktualnetemy_v23.pdf
MEDIAN SK,2020-11-06,2020-11-11,FALSE,Potential,1018,803,0.290,0.121,0.234,0.172,,0.241,0.092,0.131,,0.078,,0.045,0.028,0.133,0.103,0.069,0.057,,,,,,https://www.median.sk/pdf/OSTATNE/4520583_RTVS_Volebnymodel_v05.pdf
MEDIAN SK,2020-09-14,2020-09-18,FALSE,Potential,1007,773,0.255,0.161,0.215,0.141,,0.294,0.096,0.181,,0.066,,0.043,,0.103,0.139,0.055,0.053,,,,,,https://www.median.sk/pdf/OSTATNE/4520570_Exkluzivnyprieskum_RTVS_v11MM.pdf
MEDIAN SK,2019-11-15,2019-12-23,FALSE,Potential,1112,704,,0.27,0.15,,0.14,0.18,0.125,0.135,,0.1,,0.045,0.035,0.19,0.165,0.065,,,,,,,https://www.median.sk/pdf/OSTATNE/MEDIANSK_PAT12_PreferencieStran_v08.pdf
MEDIAN SK,2018-11-05,2018-11-27,FALSE,Potential,1020,641,,0.285,0.24,0.09,,0.19,0.12,0.16,,0.13,,0.045,0.065,,0.12,,0.09,,,,,,https://www.median.sk/pdf/PAT2018/MEDIANSK_PAT11_PreferencieStran.pdf
MEDIAN SK,2018-10-02,2018-11-03,FALSE,Potential,970,614,,0.289,0.209,0.083,,0.188,0.126,0.154,,0.132,,0.046,0.067,,0.106,,0.091,,,,,,https://www.median.sk/pdf/OSTATNE/MEDIANSK_PAT10_PreferencieStran.pdf
MEDIAN SK,2017-07-24,2017-08-20,FALSE,Potential,1125,704,,0.32,0.235,,,0.19,0.12,0.13,,0.17,,0.055,0.1,,0.125,,,,,,,0.025,https://www.median.sk/sk/wp-content/uploads/2017/09/MEDIANSK_PAT08_PreferencieStran.pdf
MEDIAN SK,2017-05-15,2017-06-11,FALSE,Potential,1017,591,,0.325,0.235,,,0.19,0.105,0.11,,0.18,,0.055,0.085,,0.12,,,,,,,0.035,https://www.median.sk/sk/wp-content/uploads/2015/10/MEDIANSK_PAT06_PreferencieStran.pdf
MEDIAN SK,2017-04-17,2017-05-14,FALSE,Potential,1078,599,,0.325,0.245,,,0.205,0.11,0.12,,0.19,,0.05,0.095,,0.125,,,,,,,0.035,https://www.median.sk/sk/wp-content/uploads/2017/06/MEDIANSK_PAT05_PreferencieStran.pdf
MEDIAN SK,2017-02-20,2017-03-19,FALSE,Potential,1018,599,,0.31,0.245,,,0.195,0.1,0.12,,0.185,,0.05,0.1,,0.14,,,,,,,0.035,https://www.median.sk/sk/wp-content/uploads/2015/10/MEDIANSK_PAT03_PreferencieStran.pdf
MEDIAN SK,2017-01-23,2017-02-19,FALSE,Potential,1026,619,,0.315,0.235,,,0.19,0.105,0.125,,0.19,,0.05,0.105,,0.15,,,,,,,0.035,https://www.median.sk/sk/wp-content/uploads/2017/03/MEDIANSK_PAT02_PreferencieStran_2017_02.pdf
MEDIAN SK,2016-12-01,2017-01-22,FALSE,Potential,1058,660,,0.305,0.245,,,0.19,0.105,0.13,,0.21,,0.05,0.115,,0.135,,,,,,,0.045,https://www.median.sk/sk/wp-content/uploads/2015/10/MEDIANSK_PreferencieStran_2017_01.pdf
MEDIAN SK,2016-09-19,2016-10-16,FALSE,Potential,991,558,,0.345,0.24,,,0.165,0.1,0.075,,0.215,,0.055,0.105,,0.125,,,,,,,0.04,https://www.median.sk/sk/wp-content/uploads/2016/11/MEDIANSK_PreferencieStran_2016_10.pdf
MEDIAN SK,2016-08-22,2016-09-22,FALSE,Potential,984,612,,0.34,0.24,,,0.155,0.095,0.065,,0.23,,0.05,0.105,,0.12,,,,,,,0.04,https://www.median.sk/sk/wp-content/uploads/2016/10/MEDIANSK_PreferencieStran_2016_09.pdf
MEDIAN SK,2016-07-25,2016-08-21,FALSE,Potential,1014,683,,0.335,0.21,,,0.18,0.14,0.065,,0.165,,0.085,0.175,,0.19,,,,,,,0.05,https://www.median.sk/sk/wp-content/uploads/2015/10/MEDIANSK_PAT08_PreferencieStran_2016_08_v062.pdf
